siren,nom,type,regcode,url-ptf,nb-ptf,url-datagouv,nb-datagouv,id-datagouv,id-ods,pop-insee,lat,long,merge,depcode,ptf,Techno (from Plateformes),Thématiques
315387209,LOIRE ATLANTIQUE TOURISME,OACT,PDL-52,https://data.loire-atlantique.fr/explore/?refine.publisher=e-SPRIT,26.0,,,,e-SPRIT,,47.243905,-1.536591,ptf,44,Loire-Atlantique,OpenDataSoft,Tourisme
224500017,LOIRET,DEP,CVL-24,,,https://www.data.gouv.fr/fr/organizations/57d90ef4c751df44fb79df72/,77.0,57d90ef4c751df44fb79df72,,678722.0,,,datagouv,45,DataGouv,DataGouv,"Administratif, Citoyenneté, Equipements, Tourisme, Environnement, Social, Santé, Transport, Culture, Urbanisme"
218501278,LONGEVILLE-SUR-MER,COM,PDL-52,,,https://www.data.gouv.fr/fr/organizations/63720fe3765f3ee7d3c56878/,1.0,63720fe3765f3ee7d3c56878,,2473.0,46.425168,-1.488347,datagouv,85,DataGouv,DataGouv,Environnement
219103454,LONGJUMEAU,COM,IDF-11,,,https://www.data.gouv.fr/fr/organizations/534fff88a3a7292c64a77eb2,13.0,534fff88a3a7292c64a77eb2,,21949.0,48.696761,2.294816,datagouv,91,DataGouv,DataGouv,"Administratif, Citoyenneté, Education, Social"
200056091,LONGUENEE EN ANJOU,COM,PDL-52,,,https://www.data.gouv.fr/fr/organizations/63733ad109eaa794d101086b/,1.0,63733ad109eaa794d101086b,,2458.0,47.549884,-0.670853,datagouv,49,DataGouv,DataGouv,Environnement
215903600,LOOS,COM,HDF-32,https://opendata.lillemetropole.fr/explore/?sort=modified&refine.publisher=Ville+de+Loos,6.0,https://www.data.gouv.fr/fr/organizations/609e8e40d5d435e4228f5d8a/,6.0,609e8e40d5d435e4228f5d8a,Ville de Loos,21442.0,50.609208,3.016252,ptf+datagouv,59,"Lille Métropole, DataGouv","OpenDataSoft, DataGouv","Transport, Equipements, Environnement, Administratif, Citoyenneté, Culture, Urbanisme"
212901417,LOQUEFFRET,COM,BRE-53,,,https://www.data.gouv.fr/fr/organizations/61ab41f7d0add2483f66266c/,1.0,61ab41f7d0add2483f66266c,,358.0,48.319573,-3.858335,datagouv,29,DataGouv,DataGouv,Equipements
215601212,LORIENT,COM,BRE-53,https://www.opendata56.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Ville+de+Lorient,27.0,https://www.data.gouv.fr/fr/organizations/59e05c6588ee386ef4f4f86d/,28.0,59e05c6588ee386ef4f4f86d,Ville de Lorient,57567.0,47.7458,-3.36688,ptf+datagouv,56,"Morbihan, DataGouv","OpenDataSoft, DataGouv","Equipements, Santé, Culture, Urbanisme, Education, Administratif, Citoyenneté"
224600015,LOT,DEP,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5ac5c34488ee386e5ad2bb40/,9.0,5ac5c34488ee386e5ad2bb40,,171770.0,,,datagouv,46,DataGouv,DataGouv,"Administratif, Citoyenneté"
200067460,LOUDEAC COMMUNAUTE,CC,BRE-53,http://datarmor.cotesdarmor.fr/donnees,3.0,,,,,51288.0,,,ptf,22,Dat'Armor,Hop'n Data,"Equipements, Environnement, Social, Administratif, Culture"
216403501,LOUHOSSOA,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/61fa6b8d757c9c81d0c38b85/,1.0,61fa6b8d757c9c81d0c38b85,,922.0,43.316399,-1.350659,datagouv,64,DataGouv,DataGouv,Equipements
212703755,LOUVIERS,COM,NOR-28,,,https://www.data.gouv.fr/fr/organizations/53806fe2a3a7297e4d35d6c6,3.0,53806fe2a3a7297e4d35d6c6,,19081.0,49.214525,1.165051,datagouv,27,DataGouv,DataGouv,"Télécom, Equipements"
214001612,LUBBON,COM,NAQ-75,,,https://www.data.gouv.fr/fr/datasets/base-adresse-locale-de-la-commune-de-lubbon/,1.0,,,95.0,44.102831,-0.014866,datagouv,40,DataGouv,DataGouv,Equipements
216403626,LUXE-SUMBERRAUTE,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/61a612204466c30f754dd42a/,2.0,61a612204466c30f754dd42a,,397.0,43.492871,-1.488102,datagouv,64,DataGouv,DataGouv,Equipements
216901231,LYON,COM,ARA-84,https://data.grandlyon.com/recherche?responsibleParty.organisationName=Ville%20de%20Lyon,17.0,,,,,30428.0,45.7579,4.8353,ptf,69,Métropole de Lyon,GeoNetwork,"Transport, Urbanisme, Environnement"
213601081,LYS-SAINT-GEORGES,COM,CVL-24,,,https://www.data.gouv.fr/fr/organizations/637f4ed0c567c89e3b9e8741/,7.0,637f4ed0c567c89e3b9e8741,,239.0,46.642022,1.82326,datagouv,36,DataGouv,DataGouv,"Administratif, Equipements"
423221795,MADININAIR,OACT,GF-03,https://data-madininair.opendata.arcgis.com/datasets,20.0,,,,,,14.6155,-61.0787,ptf,972,Madininair,ArcGIS,Environnement
200013704,MAHINA,COM,PF,,,https://www.data.gouv.fr/fr/organizations/552d6a09c751df1ed737dddb,2.0,552d6a09c751df1ed737dddb,,14645.0,-17.511766,-149.504165,datagouv,987,DataGouv,DataGouv,Citoyenneté
224900019,MAINE ET LOIRE,DEP,PDL-52,https://data.maine-et-loire.fr/explore/?q=&disjunctive.diffuseur&disjunctive.publisher&source=shared&sort=modified&geonav=world%2Fworld_fr%2Ffr_40_52%2Ffr_60_49&geonav-asc&refine.publisher=D%C3%A9partement+de+Maine-et-Loire,126.0,https://www.data.gouv.fr/fr/organizations/5e32cef58b4c411011bd3bab/,125.0,5e32cef58b4c411011bd3bab,Département de Maine-et-Loire,815325.0,,,ptf+datagouv,49,"Maine-et-Loire, DataGouv","OpenDataSoft, DataGouv","Environnement, Social, Administratif, Education, Transport, Enfance, Urbanisme"
399054964,MAISON DE L'ESTUAIRE DE LA SEINE,OACT,NOR-28,https://data.maisondelestuaire.org,20.0,,,,,,49.4858,0.135017,ptf,76,Maison de l'Estuaire,Spécifique,"Environnement, Tourisme, Urbanisme"
